City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,High Level,CA,58.5169,-117.136,6.91,92,100,8.05,light snow
144,Vila Velha,BR,-20.3297,-40.2925,73.94,85,75,10.36,broken clouds
145,Carballo,ES,43.213,-8.691,53.87,84,4,4.83,clear sky
146,Siguiri,GN,11.6667,-9.5,78.93,15,3,2.98,clear sky
147,Khatanga,RU,71.9667,102.5,-3.91,94,99,14.23,overcast clouds
148,Ban Nahin,LA,18.2418,104.2122,63.93,84,13,3.69,few clouds
149,Nome,US,64.5011,-165.4064,-9.33,70,100,9.22,overcast clouds
150,Damghan,IR,36.1683,54.348,40.68,45,79,2.62,broken clouds
151,Milkovo,RU,54.7167,158.6167,7.0,96,100,1.7,overcast clouds
152,Armeria,MX,18.9333,-103.9667,88.9,46,0,9.42,clear sky
153,Arona,ES,28.0996,-16.681,70.79,41,100,17.27,light rain
154,Darlington,GB,54.5243,-1.5504,41.11,76,0,12.66,clear sky
155,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,93,4.76,overcast clouds
156,Porto Velho,BR,-8.7619,-63.9039,82.45,78,75,1.14,broken clouds
157,Muir Of Ord,GB,57.5198,-4.4594,36.73,95,100,14.47,overcast clouds
158,Pemangkat,ID,1.1667,108.9667,74.61,93,100,1.12,heavy intensity rain
159,Pechora,RU,65.1472,57.2244,12.76,79,10,14.58,clear sky
160,Opuwo,NA,-18.0607,13.84,66.83,90,100,1.03,heavy intensity rain
161,Rawson,AR,-43.3002,-65.1023,68.07,67,77,14.92,broken clouds
162,Baiyin,CN,36.5583,104.2081,16.68,79,100,2.75,overcast clouds
163,Troitsko-Pechorsk,RU,62.7084,56.1964,15.35,90,70,12.75,broken clouds
164,Aksarka,RU,66.5606,67.7975,-0.49,99,99,9.08,overcast clouds
165,Sovetskiy,RU,61.3614,63.5842,8.28,95,82,10.25,broken clouds
166,Hami,CN,42.8,93.45,26.26,38,100,2.35,overcast clouds
167,Plettenberg Bay,ZA,-34.0527,23.3716,65.46,78,5,6.89,clear sky
168,Mogocha,RU,53.7333,119.7667,-4.31,99,100,2.55,overcast clouds
169,Tasiilaq,GL,65.6145,-37.6368,8.76,54,81,11.05,broken clouds
170,Centralia,US,46.7162,-122.9543,58.41,79,100,4.61,overcast clouds
171,Fortuna,US,40.5982,-124.1573,72.86,56,0,1.99,clear sky
172,Tavares,US,28.8042,-81.7256,67.41,37,0,8.05,clear sky
173,Ancud,CL,-41.8697,-73.8203,64.42,71,99,9.89,overcast clouds
174,Port-Cartier,CA,50.0334,-66.8654,30.74,97,100,5.39,overcast clouds
175,Flin Flon,CA,54.7682,-101.865,6.64,72,100,4.61,overcast clouds
176,Havoysund,NO,70.9963,24.6622,25.03,77,95,13.02,overcast clouds
177,Kruisfontein,ZA,-34.0033,24.7314,61.57,86,0,5.23,clear sky
178,Kayerkan,RU,69.3497,87.7602,-4.49,76,100,8.55,overcast clouds
179,Birin,NP,26.8865,88.0718,42.26,79,28,4.41,scattered clouds
180,Atakpame,TG,7.5333,1.1333,78.19,57,0,6.82,clear sky
181,Quimper,FR,48.0,-4.1,47.61,100,100,4.61,mist
182,Tandil,AR,-37.3217,-59.1332,74.41,47,13,6.4,few clouds
183,Port-Gentil,GA,-0.7193,8.7815,80.56,94,20,2.3,few clouds
184,Durant,US,33.994,-96.3708,70.41,18,0,6.33,clear sky
185,Port Hardy,CA,50.6996,-127.4199,47.75,93,100,5.75,overcast clouds
186,Berbera,SO,10.4396,45.0143,74.41,69,1,6.96,clear sky
187,Vostok,RU,46.4856,135.8833,-5.49,95,37,4.32,scattered clouds
188,Quelimane,MZ,-17.8786,36.8883,80.55,78,0,3.44,clear sky
189,Rorvik,NO,64.8621,11.2373,37.51,87,75,25.32,light snow
190,Byron Bay,AU,-28.65,153.6167,76.05,70,4,6.64,clear sky
191,Amapa,BR,1.0,-52.0,73.47,97,100,3.27,overcast clouds
192,Sorland,NO,67.667,12.6934,35.67,61,90,30.87,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,30.67,88,100,21.14,light snow
194,Faanui,PF,-16.4833,-151.75,80.96,77,25,14.43,light rain
195,Billings,US,45.7833,-108.5007,56.16,34,40,26.46,scattered clouds
196,Chumikan,RU,54.7183,135.315,1.71,95,100,9.08,overcast clouds
197,Ballina,AU,-28.8667,153.5667,69.78,92,5,2.3,clear sky
198,Georgetown,MY,5.4112,100.3354,78.89,97,20,4.61,few clouds
199,Porto Walter,BR,-8.2686,-72.7439,74.98,89,99,3.98,overcast clouds
200,Tromso,NO,69.6496,18.957,32.02,55,40,9.22,scattered clouds
201,Paso De Los Toros,UY,-32.8167,-56.5167,80.94,42,0,6.42,clear sky
202,Thunder Bay,CA,48.4001,-89.3168,27.28,76,100,18.41,overcast clouds
203,Upernavik,GL,72.7868,-56.1549,-12.73,71,100,10.38,overcast clouds
204,Cayenne,GF,4.9333,-52.3333,75.24,91,100,5.75,overcast clouds
205,Vestmannaeyjar,IS,63.4427,-20.2734,26.49,72,50,25.01,scattered clouds
206,Sitka,US,57.0531,-135.33,46.29,87,100,12.66,moderate rain
207,Aubel,BE,50.7019,5.8581,44.78,100,34,5.7,scattered clouds
208,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,79,7,7.56,clear sky
209,Pedasi,PA,7.5333,-80.0333,87.06,67,34,11.16,scattered clouds
210,Bengkulu,ID,-3.8004,102.2655,76.69,61,100,0.4,overcast clouds
211,Lebu,CL,-37.6167,-73.65,61.83,72,0,21.54,clear sky
212,Longyearbyen,SJ,78.2186,15.6401,10.24,85,75,10.36,light snow
213,Kargasok,RU,59.0556,80.8572,-18.74,100,17,4.54,few clouds
214,Kavaratti,IN,10.5669,72.642,79.16,71,100,15.46,overcast clouds
215,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.33,90,100,3.49,moderate rain
216,Yulara,AU,-25.2406,130.9889,75.04,50,0,9.22,clear sky
217,Dingle,PH,10.9995,122.6711,72.91,90,54,8.46,broken clouds
218,Guymon,US,36.6828,-101.4816,64.4,16,0,10.36,clear sky
219,Aklavik,CA,68.2191,-135.0107,-19.37,69,75,10.36,broken clouds
220,Doha,QA,25.2867,51.5333,60.78,65,0,5.75,clear sky
221,Magadi,IN,12.9667,77.2333,61.14,77,8,8.61,clear sky
222,Fereydun Kenar,IR,36.6864,52.5225,54.12,64,91,3.94,overcast clouds
223,Yola,NG,9.2,12.4833,76.91,13,36,4.05,scattered clouds
224,Yeppoon,AU,-23.1333,150.7333,76.78,66,0,7.54,clear sky
225,Cabedelo,BR,-6.9811,-34.8339,81.27,69,46,13.8,scattered clouds
226,Skibbereen,IE,51.55,-9.2667,43.11,70,100,10.11,overcast clouds
227,Clyde River,CA,70.4692,-68.5914,-19.97,69,75,18.41,broken clouds
228,Cap Malheureux,MU,-19.9842,57.6142,74.46,78,8,3.0,clear sky
229,Burnie,AU,-41.0667,145.9167,62.94,74,98,10.0,overcast clouds
230,Brigham City,US,41.5102,-112.0155,48.42,46,75,5.75,broken clouds
231,Raudeberg,NO,61.9875,5.1352,39.87,83,100,14.0,overcast clouds
232,Maldonado,UY,-34.6667,-54.9167,74.59,64,8,11.54,clear sky
233,Lavrentiya,RU,65.5833,-171.0,-24.09,93,61,7.58,broken clouds
234,Paita,PE,-5.0892,-81.1144,82.96,68,100,16.06,overcast clouds
235,Mar Del Plata,AR,-38.0023,-57.5575,73.42,69,0,13.8,clear sky
236,Hofn,IS,64.2539,-15.2082,23.7,71,4,17.94,clear sky
237,Rostovka,RU,55.3842,71.8891,-16.67,100,6,5.91,clear sky
238,Fez,MA,34.0372,-4.9998,52.05,57,0,4.61,clear sky
239,Eureka,US,40.8021,-124.1637,73.13,53,1,5.01,clear sky
240,Houston,US,29.7633,-95.3633,72.25,35,0,8.05,clear sky
241,Bela Vista,BR,-22.1089,-56.5211,84.56,34,65,5.14,broken clouds
242,Saint-Augustin,CA,51.226,-58.6502,25.34,80,91,17.07,overcast clouds
243,Staunton,US,38.1496,-79.0717,56.12,32,0,9.22,clear sky
244,Talnakh,RU,69.4865,88.3972,-3.8,98,100,10.89,light snow
245,Nalut,LY,30.3333,10.85,47.41,48,0,13.22,clear sky
246,Geraldton,AU,-28.7667,114.6,59.41,88,0,0.0,clear sky
247,Asasa,ET,7.1,39.2,56.28,49,90,4.18,overcast clouds
248,Klyuchi,RU,52.2667,79.1667,-12.68,100,96,5.93,overcast clouds
249,Alta Floresta,BR,-9.8756,-56.0861,71.58,97,100,2.82,overcast clouds
250,Bandarbeyla,SO,9.4942,50.8122,74.1,67,87,17.58,overcast clouds
251,Guerrero Negro,MX,27.9769,-114.0611,72.68,26,48,9.31,scattered clouds
252,Vanavara,RU,60.34,102.2797,-27.42,100,68,2.66,broken clouds
253,Lagoa,PT,39.05,-27.9833,58.69,71,2,15.95,clear sky
254,Brigantine,US,39.4101,-74.3646,48.49,71,0,11.5,clear sky
255,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,55,0,11.5,clear sky
256,Ust-Kuyga,RU,70.0167,135.6,-32.76,96,100,9.06,overcast clouds
257,Victoria,HK,22.2855,114.1577,63.32,82,100,6.31,overcast clouds
258,Ronneby,SE,56.21,15.276,37.9,87,33,5.75,scattered clouds
259,Cherskiy,RU,68.75,161.3,-45.63,100,85,4.65,overcast clouds
260,Ust-Ilimsk,RU,58.0006,102.6619,-29.15,100,100,1.57,overcast clouds
261,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
262,Kiruna,SE,67.8557,20.2251,-2.74,100,100,2.66,overcast clouds
263,Apache Junction,US,33.4151,-111.5496,78.33,11,0,8.01,clear sky
264,Port Lincoln,AU,-34.7333,135.8667,64.35,66,75,6.24,broken clouds
265,Hambantota,LK,6.1241,81.1185,75.54,94,20,2.3,few clouds
266,Itarema,BR,-2.9248,-39.9167,80.24,74,22,11.32,few clouds
267,Simao,CN,22.7886,100.9748,45.66,60,90,1.32,overcast clouds
268,College,US,64.8569,-147.8028,-4.72,74,100,3.44,light snow
