City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Cockburn Town,TC,77.95,clear sky,21.4612,-71.1419,Osprey Beach Hotel
380,Omboue,GA,78.53,light rain,-1.5746,9.2618,Hotel Olako
386,Coahuayana,MX,83.55,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
387,Ixtapa,MX,82.56,clear sky,20.7,-105.2,Hotel Plaza Providencia
388,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
392,Manokwari,ID,76.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
408,Puerto Escondido,MX,82.17,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
411,Sambava,MG,75.58,light rain,-14.2667,50.1667,Melrose
414,Mazagao,BR,87.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
415,Malakal,SS,82.99,clear sky,9.5334,31.6605,Nile Palace Hotel
416,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
420,Luwuk,ID,77.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
423,Laguna,US,76.82,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
424,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
429,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
437,Poya,NC,80.24,overcast clouds,-21.35,165.15,
448,Altamira,BR,84.29,scattered clouds,-3.2033,-52.2064,Requinte Hotel
450,Maicao,CO,84.78,broken clouds,11.3832,-72.2432,Hotel Sancho
453,Puerto Narino,CO,87.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
459,Bubaque,GW,78.3,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
460,Salta,AR,79.09,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
463,Cap Estate,LC,80.26,scattered clouds,14.0833,-60.95,Coco Palm Resort
466,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
474,Harper,LR,79.75,overcast clouds,4.375,-7.7169,Screensaver
475,Pemba,MZ,79.5,thunderstorm,-12.974,40.5178,Guesthouse Samotina
477,Kalmunai,LK,75.34,overcast clouds,7.4167,81.8167,VS Villa
482,Santo Angelo,BR,86.32,clear sky,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
488,Sola,VU,82.31,overcast clouds,-13.8833,167.55,Leumerus Bungalows
500,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
503,Cabimas,VE,84.81,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
504,Moree,AU,75.47,clear sky,-29.4667,149.85,Molika Springs Motel
505,Goodyear,US,81.01,few clouds,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
